Date,Year,Quarter,Month,Month_Name,Week,Day_of_Week,Day_Name,Stock_Symbol,Opening_Price,High_Price,Low_Price,Closing_Price,Trading_Volume,Volume_Category,Daily_Return_Pct,Return_Category,Price_Change,Moving_Avg_20Day,Moving_Avg_50Day,MA_Signal,Volatility_Pct,Daily_Price_Range,Cumulative_Return,Pct_of_52Week_High
2021-01-04,2021,1,1,January,1,0,Monday,AAPL,129.85382273863348,129.9413479643197,123.27943619712624,125.85667419433594,143301900,High,0.0,Flat,0.0,125.85667419433594,125.85667419433594,Neutral,0.0,6.661911767193459,0.0,100.0
2021-01-05,2021,1,1,January,1,1,Tuesday,AAPL,125.35098801490136,128.12273976147537,124.9036119861187,127.41277313232422,97664900,Medium,1.236405576382471,Small Gain,1.5560989379882812,126.63472366333008,126.63472366333008,Neutral,0.0,3.219127775356668,0.0123640557638247,100.0
2021-01-06,2021,1,1,January,1,2,Wednesday,AAPL,124.21309026097016,127.4516575492309,122.9098798620693,123.12384033203124,155088000,High,-3.36617176979479,Large Loss,-4.288932800292983,125.4644292195638,125.4644292195638,Neutral,3.254513652417525,4.541777687161599,-0.0217138572888467,96.63382823020521
2021-01-07,2021,1,1,January,1,3,Thursday,AAPL,124.8355201179548,128.015737336711,124.34924900731144,127.32522583007812,109578200,High,3.412324929694277,Large Gain,4.201385498046889,125.92962837219238,125.92962837219238,Neutral,3.460885261621299,3.666488329399556,0.0116684446426305,99.93128844142245
2021-01-08,2021,1,1,January,1,4,Friday,AAPL,128.79378086858412,128.98830121735807,126.65419059044255,128.42422485351562,105158200,High,0.8631431959163827,Small Gain,1.0989990234375,126.42854766845704,126.42854766845704,Neutral,2.8341829828060936,2.3341106269155176,0.0204005919877965,100.0
2021-01-11,2021,1,1,January,2,0,Monday,AAPL,125.64273985954291,126.59582714131228,124.97168331019908,125.4384994506836,100384500,High,-2.324892679895585,Large Loss,-2.9857254028320312,126.26353963216144,126.26353963216144,Neutral,2.768008889245249,1.6241438311132017,-0.0033226266809389,97.67510732010442
2021-01-12,2021,1,1,January,2,1,Tuesday,AAPL,124.97168496595856,126.12901267192076,123.3767161950052,125.2634506225586,91951100,Medium,-0.1395495233852184,Flat,-0.175048828125,126.12066977364675,126.12066977364675,Neutral,2.4761444310857024,2.7522964769155607,-0.004713485205094,97.53880217337321
2021-01-13,2021,1,1,January,2,2,Wednesday,AAPL,125.22453884607684,127.84067995815208,124.96196311469332,127.29605865478516,88636800,Medium,1.622666485814106,Small Gain,2.0326080322265625,126.26759338378906,126.26759338378906,Neutral,2.3474648105389777,2.8787168434587613,0.01143669550831,99.12153162690505
2021-01-14,2021,1,1,January,2,3,Thursday,AAPL,127.20853432464988,127.40303981441828,125.22453974548624,125.37042999267578,90221800,Medium,-1.512716640608247,Small Loss,-1.925628662109375,126.16790856255426,126.16790856255426,Neutral,2.2548138268655085,2.1785000689320384,-0.0038634756938623,97.62210372355909
2021-01-15,2021,1,1,January,2,4,Friday,AAPL,125.2439937099894,126.64445696844103,123.51286963768597,123.6490249633789,111598500,High,-1.3730550572391254,Small Loss,-1.721405029296875,125.91602020263672,125.91602020263672,Neutral,2.156443860890863,3.1315873307550675,-0.0175409786178538,96.28169849139954
